earnings,lnearnings,dearnings,gender,age,lnage,agesq,education,educsquared,agebyeduc,genderbyage,genderbyeduc,hours,lnhours,genderbyhours,dself,dprivate,dgovt,state,statefip,stateunemp,stateincomepc,year,pernum,perwt,relate,region,metro,marst,race,raced,hispan,racesing,hcovany,attainededuc,detailededuc,empstat,classwkr,classwkrd,wkswork2,workedyr,inctot,incwage,incbus00,incearn
20000.0,9.903487,0.0,1,44,3.7841897,1936.0,13.0,169.0,572.0,44.0,13.0,40,3.6888795,40.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,2,111.0,Spouse,East South Central Div.,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,20000,20000,0,20000
120000.0,11.695247,1.0,0,35,3.5553482,1225.0,16.0,256.0,560.0,0.0,0.0,55,4.0073333,0.0,0.0,0.0,1.0,Alabama ,Alabama,10.5,33945,2010,1,104.0,Head/Householder,East South Central Div.,"In metro, area, outside central city","Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,State govt employee,50-52 weeks,Yes,120000,120000,0,120000
65000.0,11.082143,0.0,1,28,3.3322046,784.0,16.0,256.0,448.0,28.0,16.0,40,3.6888795,40.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,195.0,Head/Householder,East South Central Div.,Not in metro area,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,65000,65000,0,65000
38000.0,10.5453415,0.0,1,49,3.8918202,2401.0,12.0,144.0,588.0,49.0,12.0,40,3.6888795,40.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,2,108.0,Spouse,East South Central Div.,"In metro area, central city","Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,38000,38000,0,38000
65000.0,11.082143,0.0,0,50,3.912023,2500.0,12.0,144.0,600.0,0.0,0.0,60,4.0943446,0.0,1.0,0.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,103.0,Head/Householder,East South Central Div.,Not in metro area,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,65000,0,65000,65000
115000.0,11.652687,1.0,0,56,4.0253515,3136.0,20.0,400.0,1120.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,105.0,Head/Householder,East South Central Div.,Central city status unknown,"Married, spouse present",Other Asian or Pacific Islander,Asian Indian (Hindu 1920-1940),Not Hispanic,Asian and/or Pacific Islander,With health insurance coverage,5+ years of college,Doctoral degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,133300,115000,0,115000
48000.0,10.778956,0.0,1,26,3.2580965,676.0,16.0,256.0,416.0,26.0,16.0,45,3.8066626,45.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,1,126.0,Head/Householder,East South Central Div.,"In metro, area, outside central city",Never married/single,White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,Wage/salary at non-profit,50-52 weeks,Yes,48000,48000,0,48000
45000.0,10.714417,0.0,0,47,3.8501475,2209.0,12.0,144.0,564.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Alabama ,Alabama,10.5,33945,2010,2,108.0,Spouse,East South Central Div.,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,GED or alternative credential,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,45000,45000,0,45000
130000.0,11.77529,1.0,0,50,3.912023,2500.0,12.0,144.0,600.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Alaska ,Alaska,8.0,44174,2010,1,131.0,Head/Householder,Pacific Division,"In metro area, central city","Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,135000,130000,0,130000
36000.0,10.491274,0.0,1,50,3.912023,2500.0,12.0,144.0,600.0,50.0,12.0,40,3.6888795,40.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,300.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present","Other race, nec","Other race, n.e.c.",Mexican,White,With health insurance coverage,Grade 12,"12th grade, no diploma",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,36000,36000,0,36000
52000.0,10.858999,0.0,0,36,3.583519,1296.0,16.0,256.0,576.0,0.0,0.0,40,3.6888795,0.0,0.0,0.0,1.0,Arizona ,Arizona,10.4,34999,2010,1,198.0,Head/Householder,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,State govt employee,50-52 weeks,Yes,52000,52000,0,52000
36400.0,10.502324,0.0,0,55,4.0073333,3025.0,12.0,144.0,660.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,98.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,36400,36400,0,36400
125000.0,11.736069,1.0,0,50,3.912023,2500.0,16.0,256.0,800.0,0.0,0.0,50,3.912023,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,1,80.0,Head/Householder,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,125000,125000,0,125000
36000.0,10.491274,0.0,0,38,3.637586,1444.0,13.0,169.0,494.0,0.0,0.0,45,3.8066626,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,1,176.0,Head/Householder,Mountain Division,Central city status unknown,Divorced,American Indian or Alaska Native,Tohono O Odham,Not Hispanic,American Indian/Alaska Native,No health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,36000,36000,0,36000
24000.0,10.085809,0.0,0,26,3.2580965,676.0,14.0,196.0,364.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,3,128.0,Child,Mountain Division,Central city status unknown,Never married/single,White,White,Not Hispanic,White,No health insurance coverage,2 years of college,"Associate's degree, type not specified",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,24000,24000,0,24000
48000.0,10.778956,0.0,0,44,3.7841897,1936.0,12.0,144.0,528.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,78.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,"Some college, but less than 1 year",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,48000,48000,0,48000
30000.0,10.308952,0.0,1,49,3.8918202,2401.0,13.0,169.0,637.0,49.0,13.0,40,3.6888795,40.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,1,177.0,Head/Householder,Mountain Division,Central city status unknown,Never married/single,White,White,Not Hispanic,White,With health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,30000,30000,0,30000
89000.0,11.396392,1.0,1,51,3.9318256,2601.0,18.0,324.0,918.0,51.0,18.0,40,3.6888795,40.0,0.0,0.0,1.0,Arizona ,Arizona,10.4,34999,2010,1,220.0,Head/Householder,Mountain Division,Not identifiable,Divorced,White,White,Not Hispanic,White,With health insurance coverage,5+ years of college,Master's degree,Employed,Works for wages,Local govt employee,50-52 weeks,Yes,89000,89000,0,89000
38000.0,10.5453415,0.0,0,34,3.5263605,1156.0,12.0,144.0,408.0,0.0,0.0,50,3.912023,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,99.0,Child,Mountain Division,Central city status unknown,Divorced,White,White,Not Hispanic,White,No health insurance coverage,Grade 12,"Some college, but less than 1 year",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,38000,38000,0,38000
12000.0,9.392662,0.0,1,56,4.0253515,3136.0,12.0,144.0,672.0,56.0,12.0,40,3.6888795,40.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,172.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Mexican,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,12000,12000,0,12000
85000.0,11.350407,1.0,0,44,3.7841897,1936.0,16.0,256.0,704.0,0.0,0.0,56,4.0253515,0.0,0.0,0.0,1.0,Arizona ,Arizona,10.4,34999,2010,1,231.0,Head/Householder,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,Local govt employee,50-52 weeks,Yes,85000,85000,0,85000
50000.0,10.819778,0.0,1,44,3.7841897,1936.0,14.0,196.0,616.0,44.0,14.0,70,4.248495,70.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,56.0,Spouse,Mountain Division,Not in metro area,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,2 years of college,"Associate's degree, type not specified",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,50000,50000,0,50000
30500.0,10.325482,0.0,1,49,3.8918202,2401.0,13.0,169.0,637.0,49.0,13.0,40,3.6888795,40.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,1,75.0,Head/Householder,Mountain Division,Central city status unknown,Divorced,White,White,Not Hispanic,White,With health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",48-49 weeks,Yes,30500,30500,0,30500
50000.0,10.819778,0.0,1,49,3.8918202,2401.0,12.0,144.0,588.0,49.0,12.0,40,3.6888795,40.0,0.0,0.0,1.0,Arizona ,Arizona,10.4,34999,2010,1,62.0,Head/Householder,Mountain Division,Central city status unknown,Divorced,White,White,Mexican,White,With health insurance coverage,Grade 12,GED or alternative credential,Employed,Works for wages,Local govt employee,50-52 weeks,Yes,50000,50000,0,50000
219000.0,12.296827,1.0,0,43,3.7612002,1849.0,10.0,100.0,430.0,0.0,0.0,40,3.6888795,0.0,1.0,0.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,68.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 10,Grade 10,Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,229000,0,219000,219000
135000.0,11.81303,1.0,0,52,3.9512436,2704.0,13.0,169.0,676.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,72.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,135000,135000,0,135000
15000.0,9.615806,0.0,0,26,3.2580965,676.0,13.0,169.0,338.0,0.0,0.0,60,4.0943446,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,3,71.0,Child,Mountain Division,Central city status unknown,Never married/single,White,White,Not Hispanic,White,No health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,15000,15000,0,15000
30000.0,10.308952,0.0,0,36,3.583519,1296.0,14.0,196.0,504.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,126.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Mexican,White,With health insurance coverage,2 years of college,"Associate's degree, type not specified",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,30000,30000,0,30000
30800.0,10.33527,0.0,1,37,3.6109178,1369.0,16.0,256.0,592.0,37.0,16.0,35,3.5553482,35.0,0.0,0.0,1.0,Arizona ,Arizona,10.4,34999,2010,3,102.0,Child,Mountain Division,Central city status unknown,Divorced,White,White,Not Hispanic,White,No health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,Federal govt employee,50-52 weeks,Yes,35900,30800,0,30800
36000.0,10.491274,0.0,0,56,4.0253515,3136.0,16.0,256.0,896.0,0.0,0.0,40,3.6888795,0.0,1.0,0.0,0.0,Arizona ,Arizona,10.4,34999,2010,1,94.0,Head/Householder,Mountain Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,36000,0,36000,36000
24000.0,10.085809,0.0,0,28,3.3322046,784.0,12.0,144.0,336.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arizona ,Arizona,10.4,34999,2010,2,103.0,Spouse,Mountain Division,Central city status unknown,"Married, spouse present",Two major races,White and Asian Indian,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,24000,24000,0,24000
318000.0,12.6698065,1.0,0,34,3.5263605,1156.0,16.0,256.0,544.0,0.0,0.0,60,4.0943446,0.0,1.0,0.0,0.0,Arizona ,Arizona,10.4,34999,2010,1,292.0,Head/Householder,Mountain Division,Central city status unknown,Divorced,White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Self-employed,"Self-employed, incorporated",50-52 weeks,Yes,318000,318000,0,318000
35000.0,10.463103,0.0,1,52,3.9512436,2704.0,16.0,256.0,832.0,52.0,16.0,40,3.6888795,40.0,0.0,1.0,0.0,Arkansas ,Arkansas,8.6,33150,2010,1,214.0,Head/Householder,West South Central Div.,Central city status unknown,Divorced,"Other race, nec","Other race, n.e.c.",Not Hispanic,"Other race, non-Hispanic",No health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,35000,35000,0,35000
25000.0,10.126631,0.0,0,50,3.912023,2500.0,8.0,64.0,400.0,0.0,0.0,55,4.0073333,0.0,1.0,0.0,0.0,Arkansas ,Arkansas,8.6,33150,2010,2,79.0,Spouse,West South Central Div.,Central city status unknown,"Married, spouse present",White,White,Mexican,White,No health insurance coverage,"Grade 5, 6, 7, or 8",Grade 8,Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,25000,0,25000,25000
44900.0,10.7121935,0.0,0,45,3.8066626,2025.0,16.0,256.0,720.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arkansas ,Arkansas,8.6,33150,2010,1,71.0,Head/Householder,West South Central Div.,Not identifiable,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,45110,44900,0,44900
18000.0,9.798127,0.0,0,45,3.8066626,2025.0,12.0,144.0,540.0,0.0,0.0,35,3.5553482,0.0,0.0,1.0,0.0,Arkansas ,Arkansas,8.6,33150,2010,2,132.0,Spouse,West South Central Div.,Not in metro area,"Married, spouse present",Black/Negro,Black/Negro,Not Hispanic,Black,No health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,18000,18000,0,18000
37000.0,10.518673,0.0,0,30,3.4011974,900.0,12.0,144.0,360.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,Arkansas ,Arkansas,8.6,33150,2010,2,233.0,Spouse,West South Central Div.,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,37000,37000,0,37000
19000.0,9.852194,0.0,0,28,3.3322046,784.0,13.0,169.0,364.0,0.0,0.0,35,3.5553482,0.0,0.0,1.0,0.0,Arkansas ,Arkansas,8.6,33150,2010,1,98.0,Head/Householder,West South Central Div.,Not in metro area,Never married/single,White,White,Not Hispanic,White,No health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,19000,19000,0,19000
100000.0,11.512925,1.0,0,40,3.6888795,1600.0,16.0,256.0,640.0,0.0,0.0,72,4.276666,0.0,0.0,0.0,1.0,California,California,12.2,43104,2010,2,75.0,Spouse,Pacific Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,4 years of college,Bachelor's degree,Employed,Works for wages,Local govt employee,50-52 weeks,Yes,100000,100000,0,100000
65000.0,11.082143,0.0,1,35,3.5553482,1225.0,18.0,324.0,630.0,35.0,18.0,70,4.248495,70.0,0.0,1.0,0.0,California,California,12.2,43104,2010,1,224.0,Head/Householder,Pacific Division,"In metro area, central city",Never married/single,White,White,Not Hispanic,White,With health insurance coverage,5+ years of college,Master's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,65000,65000,0,65000
25000.0,10.126631,0.0,1,30,3.4011974,900.0,12.0,144.0,360.0,30.0,12.0,40,3.6888795,40.0,0.0,1.0,0.0,California,California,12.2,43104,2010,1,18.0,Head/Householder,Pacific Division,Central city status unknown,"Married, spouse present","Other race, nec","Other race, n.e.c.",Mexican,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,25000,25000,0,25000
44200.0,10.69648,0.0,1,52,3.9512436,2704.0,12.0,144.0,624.0,52.0,12.0,40,3.6888795,40.0,0.0,1.0,0.0,California,California,12.2,43104,2010,1,71.0,Head/Householder,Pacific Division,"In metro, area, outside central city",Divorced,Other Asian or Pacific Islander,Filipino,Not Hispanic,Asian and/or Pacific Islander,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,44200,44200,0,44200
110000.0,11.608235,1.0,0,42,3.7376697,1764.0,12.0,144.0,504.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,California,California,12.2,43104,2010,1,24.0,Head/Householder,Pacific Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,110000,110000,0,110000
70000.0,11.156251,0.0,0,61,4.1108737,3721.0,12.0,144.0,732.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,California,California,12.2,43104,2010,1,78.0,Head/Householder,Pacific Division,"In metro, area, outside central city",Divorced,White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Not in labor force,Works for wages,"Wage/salary, private",50-52 weeks,Yes,72000,70000,0,70000
50000.0,10.819778,0.0,1,60,4.0943446,3600.0,13.0,169.0,780.0,60.0,13.0,40,3.6888795,40.0,0.0,0.0,1.0,California,California,12.2,43104,2010,1,260.0,Head/Householder,Pacific Division,"In metro, area, outside central city",Widowed,White,White,Not Hispanic,White,With health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,State govt employee,50-52 weeks,Yes,50000,50000,0,50000
70000.0,11.156251,0.0,0,40,3.6888795,1600.0,18.0,324.0,720.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,California,California,12.2,43104,2010,1,67.0,Head/Householder,Pacific Division,"In metro, area, outside central city",Divorced,White,White,Not Hispanic,White,With health insurance coverage,5+ years of college,Master's degree,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,70050,70000,0,70000
36000.0,10.491274,0.0,0,30,3.4011974,900.0,12.0,144.0,360.0,0.0,0.0,40,3.6888795,0.0,0.0,0.0,1.0,California,California,12.2,43104,2010,2,56.0,Spouse,Pacific Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,Federal govt employee,50-52 weeks,Yes,40500,36000,0,36000
50000.0,10.819778,0.0,0,47,3.8501475,2209.0,12.0,144.0,564.0,0.0,0.0,45,3.8066626,0.0,0.0,0.0,1.0,California,California,12.2,43104,2010,2,291.0,Spouse,Pacific Division,"In metro, area, outside central city","Married, spouse present","Other race, nec","Other race, n.e.c.",Mexican,White,With health insurance coverage,Grade 12,Regular high school diploma,Employed,Works for wages,Local govt employee,50-52 weeks,Yes,51200,50000,0,50000
23000.0,10.043249,0.0,0,39,3.6635616,1521.0,9.0,81.0,351.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,California,California,12.2,43104,2010,2,63.0,Sibling,Pacific Division,Central city status unknown,Never married/single,"Other race, nec","Other race, n.e.c.",Other,White,With health insurance coverage,Grade 9,Grade 9,Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,23000,23000,0,23000
25000.0,10.126631,0.0,1,50,3.912023,2500.0,18.0,324.0,900.0,50.0,18.0,50,3.912023,50.0,1.0,0.0,0.0,California,California,12.2,43104,2010,2,69.0,Spouse,Pacific Division,"In metro area, central city","Married, spouse present",Two major races,Asian write-in and PI write-in,Not Hispanic,Asian and/or Pacific Islander,With health insurance coverage,5+ years of college,Master's degree,Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,25500,0,25000,25000
79000.0,11.277204,0.0,0,61,4.1108737,3721.0,12.0,144.0,732.0,0.0,0.0,50,3.912023,0.0,0.0,1.0,0.0,California,California,12.2,43104,2010,2,101.0,Spouse,Pacific Division,"In metro, area, outside central city","Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,Grade 12,"12th grade, no diploma",Employed,Works for wages,Wage/salary at non-profit,50-52 weeks,Yes,79000,79000,0,79000
60000.0,11.0021,0.0,0,49,3.8918202,2401.0,13.0,169.0,637.0,0.0,0.0,40,3.6888795,0.0,0.0,1.0,0.0,California,California,12.2,43104,2010,1,78.0,Head/Householder,Pacific Division,Central city status unknown,"Married, spouse present",White,White,Not Hispanic,White,With health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Works for wages,"Wage/salary, private",50-52 weeks,Yes,60000,60000,0,60000
32000.0,10.373491,0.0,0,57,4.0430512,3249.0,13.0,169.0,741.0,0.0,0.0,38,3.637586,0.0,1.0,0.0,0.0,California,California,12.2,43104,2010,1,357.0,Head/Householder,Pacific Division,"In metro area, central city",Never married/single,Other Asian or Pacific Islander,Filipino,Not Hispanic,Asian and/or Pacific Islander,With health insurance coverage,1 year of college,"1 or more years of college credit, no degree",Employed,Self-employed,"Self-employed, not incorporated",50-52 weeks,Yes,32000,2000,30000,32000
