code,country,democracy,growth,constraint,indcent,catholic,muslim,protestant,other,world,colony,indyear,logem4,lpd1500s,madid
PER,Peru,0.55,1.873102,0.3333333,18.21,0.951,0.0,0.027,0.022000024,1,1,1821,4.26268,0.4462871,5001
PHL,Philippines,0.9,1.434978,0.5333334,19.46,0.841,0.043,0.038,0.07799998,1,1,1946,,0.5169443,3002
PNG,Papua New Guinea,1.0,1.543368,1.0,19.75,0.328,0.0,0.584,0.088,1,1,1975,5.135798,0.4252677,3002
POL,Poland,0.9,2.677324,0.9333333,19.18,0.81,0.0,0.001,0.189,1,0,1918,,2.575641,2009
PRK,"Korea, Dem. Rep.",0.05,0.7219348,0.3333333,19.45,0.0,0.0,0.0,1.0,1,0,1945,,,3002
PRT,Portugal,1.0,3.141536,0.0,18.0,0.941,0.0,0.011,0.048000015,1,0,1800,,2.61456,1117
PRY,Paraguay,0.85,1.671753,0.0,18.11,0.96,0.0,0.019,0.021000022,1,1,1811,4.35799,-0.6863743,5001
QAT,Qatar,0.0,2.650289,0.0,19.71,0.012,0.924,0.009,0.054999977,1,0,1971,,0.0,3002
ROM,Romania,0.9,1.800515,0.3333333,18.77,0.049,0.012,0.058,0.881,1,0,1877,,2.161346,2009
RUS,Russia,0.85,2.335486,0.0,18.0,0.014,0.113,0.0,0.873,1,0,1800,,-0.3417263,4001
RWA,Rwanda,0.3,0.6955752,0.0,19.62,0.556,0.086,0.116,0.24200001,1,1,1962,5.634789,3.218876,2011
SAU,Saudi Arabia,0.0,2.64533,0.0,19.32,0.001,0.988,0.001,0.010000024,1,0,1932,,0.3894648,3002
SDN,Sudan,0.15,0.8731046,0.3333333,19.56,0.044,0.73,0.001,0.22499998,1,1,1956,4.479607,2.64114,2011
SEN,Senegal,0.9,1.241735,0.3333333,19.6,0.056,0.91,0.001,0.032999974,1,1,1960,5.103883,1.442202,2011
SGP,Singapore,0.4,3.666049,0.3333333,19.65,0.047,0.174,0.026,0.753,1,1,1965,2.873565,-2.437894,3002
SLE,Sierra Leone,0.15,-0.0887394,0.55,19.61,0.022,0.394,0.048,0.536,1,1,1961,6.180017,1.442202,2011
SLV,El Salvador,0.85,1.567521,0.3333333,18.21,0.962,0.0,0.024,0.013999987,1,1,1821,4.35799,0.4317824,5001
SWE,Sweden,0.9,3.376157,0.0,18.0,0.014,0.001,0.684,0.301,1,0,1800,,3.883387,1140
SWZ,Swaziland,0.05,1.839638,0.0833333,19.68,0.108,0.001,0.339,0.552,1,1,1968,,-0.7105375,2011
SYR,Syrian Arab Republic,0.15,2.578044,0.5,19.46,0.013,0.896,0.002,0.08899997,1,0,1946,,2.70805,3002
TCD,Chad,0.4,0.0228591,0.0,19.6,0.21,0.44,0.116,0.23400001,1,1,1960,5.634789,0.0,2011
TGO,Togo,0.4,0.3285556,0.2333333,19.6,0.293,0.17,0.061,0.47599998,1,1,1960,6.504288,1.442202,2011
THA,Thailand,0.95,2.41184,0.0,18.0,0.004,0.039,0.002,0.955,1,0,1800,4.941642,1.364748,3002
TTO,Trinidad and Tobago,1.0,3.178472,1.0,19.62,0.358,0.065,0.132,0.445,1,1,1962,4.442651,0.3784365,5001
TUN,Tunisia,0.35,2.394425,0.0,19.56,0.001,0.994,0.0,0.004999982,1,1,1956,4.143135,2.459847,2011
TUR,Turkey,0.85,2.452288,0.0,18.0,0.001,0.992,0.0,0.007000016,1,0,1800,,2.102395,3002
TZA,Tanzania,0.6,0.2356138,0.3333333,19.61,0.282,0.325,0.112,0.28100002,1,1,1961,5.634789,0.6833779,2011
UGA,Uganda,0.3,0.6438055,0.5925926,19.62,0.496,0.066,0.019,0.419,1,1,1962,5.634789,2.016654,2011
URY,Uruguay,1.0,2.630204,0.0,18.25,0.595,0.0,0.019,0.38599998,1,1,1825,4.26268,-2.210722,5001
USA,United States,1.0,4.2531,1.0,18.0,0.3,0.008,0.436,0.256,1,1,1800,2.70805,-2.437894,1157
VEN,"Venezuela, RB",0.85,2.698509,0.0,18.11,0.948,0.0,0.01,0.04199999,1,1,1811,4.35799,-0.8209805,5001
VNM,Vietnam,0.15,1.14786,0.3333333,19.45,0.039,0.01,0.002,0.949,1,1,1945,4.941642,1.815571,3002
ZAF,South Africa,0.95,2.302416,1.0,19.1,0.104,0.013,0.39,0.493,1,1,1910,2.74084,-0.7105286,2011
ZMB,Zambia,0.55,0.4759107,0.2,19.64,0.262,0.003,0.319,0.416,1,1,1964,,-0.2357223,2011
ZWE,Zimbabwe,0.25,1.129134,1.0,19.65,0.144,0.009,0.214,0.633,1,1,1965,,-0.2357223,2011
