tv,radio,newspaper,sales,lnsales,lntv,lnradio,lnnews,region1,region3,region2
262.9,3.5,19.5,12000.0,9.392662,5.5717735,1.2527629,2.9704144,1.0,0.0,0.0
142.9,29.3,12.6,15000.0,9.615806,4.962145,3.3775876,2.533697,1.0,0.0,0.0
240.1,16.7,22.9,15900.0,9.674074,5.4810557,2.8154087,3.131137,0.0,0.0,1.0
248.8,27.1,22.9,18900.0,9.846917,5.5166492,3.2995338,3.131137,0.0,1.0,0.0
70.6,16.0,40.8,10500.0,9.2591305,4.25703,2.7725887,3.708682,0.0,0.0,1.0
292.9,28.3,43.2,21400.0,9.971147,5.679831,3.342862,3.7658405,0.0,0.0,1.0
112.9,17.4,38.6,11900.0,9.384294,4.7265024,2.85647,3.6532521,0.0,0.0,1.0
97.2,1.5,30.0,9600.0,9.169518,4.576771,0.4054651,3.4011974,0.0,0.0,1.0
265.6,20.0,0.3,17400.0,9.764226,5.5819917,2.9957323,-1.2039728,0.0,0.0,1.0
95.7,1.4,7.4,9500.0,9.159047,4.5612183,0.3364722,2.00148,1.0,0.0,0.0
290.7,4.1,8.5,12800.0,9.4572,5.6722918,1.4109869,2.1400661,0.0,1.0,0.0
266.9,43.8,5.0,25400.0,10.142505,5.586874,3.7796338,1.609438,0.0,0.0,1.0
74.7,49.4,45.7,14700.0,9.595603,4.31348,3.8999505,3.8220983,0.0,0.0,1.0
43.1,26.7,35.1,10100.0,9.220291,3.7635229,3.2846637,3.558201,1.0,0.0,0.0
228.0,37.7,32.0,21500.0,9.975808,5.4293456,3.6296601,3.465736,0.0,1.0,0.0
202.5,22.3,31.6,16600.0,9.717158,5.31074,3.1045866,3.4531572,0.0,1.0,0.0
177.0,33.4,38.7,17100.0,9.746834,5.17615,3.508556,3.6558397,0.0,0.0,1.0
293.6,27.7,1.8,20700.0,9.937889,5.6822186,3.3214324,0.5877866,0.0,1.0,0.0
206.9,8.4,26.4,12900.0,9.464983,5.3322353,2.1282318,3.273364,1.0,0.0,0.0
25.1,25.7,43.3,8500.0,9.047821,3.222868,3.246491,3.7681527,0.0,1.0,0.0
175.1,22.5,31.5,14900.0,9.609117,5.165357,3.1135154,3.4499876,0.0,0.0,1.0
89.7,9.9,35.7,10600.0,9.268609,4.496471,2.2925348,3.5751507,0.0,1.0,0.0
239.9,41.5,18.5,23200.0,10.051908,5.480222,3.7256935,2.9177706,0.0,1.0,0.0
227.2,15.8,49.9,14800.0,9.602383,5.425831,2.76001,3.910021,0.0,0.0,1.0
66.9,11.7,36.8,9700.0,9.179881,4.203199,2.4595888,3.6054978,0.0,0.0,1.0
199.8,3.1,34.6,11400.0,9.341369,5.297317,1.1314021,3.5438535,0.0,0.0,1.0
100.4,9.6,3.6,10700.0,9.277999,4.6091623,2.261763,1.2809339,1.0,0.0,0.0
216.4,41.7,39.6,22600.0,10.025705,5.3771286,3.7305012,3.6788292,0.0,1.0,0.0
182.6,46.2,58.7,21200.0,9.961757,5.207298,3.83298,4.0724397,0.0,0.0,1.0
262.7,28.8,15.9,20200.0,9.913438,5.571013,3.3603754,2.766319,0.0,0.0,1.0
198.9,49.4,60.0,23700.0,10.073231,5.2928023,3.8999505,4.0943446,0.0,1.0,0.0
7.3,28.1,41.4,5500.0,8.612503,1.9878744,3.3357697,3.723281,0.0,0.0,1.0
136.2,19.2,16.6,13200.0,9.487972,4.9141245,2.9549103,2.8094027,0.0,1.0,0.0
210.8,49.6,37.7,23800.0,10.077441,5.3509097,3.9039907,3.6296601,0.0,1.0,0.0
210.7,29.5,9.3,18400.0,9.820106,5.3504353,3.3843904,2.2300143,0.0,0.0,1.0
53.5,2.0,21.4,8100.0005,8.9996195,3.9796817,0.6931472,3.063391,1.0,0.0,0.0
261.3,42.7,54.7,24200.0,10.094108,5.565669,3.754199,4.001864,0.0,1.0,0.0
239.3,15.5,27.3,15700.0,9.661416,5.477718,2.74084,3.3068867,0.0,1.0,0.0
102.7,29.6,8.4,14000.0,9.546813,4.631812,3.3877745,2.1282318,0.0,0.0,1.0
131.1,42.8,28.9,18000.0,9.798127,4.8759604,3.7565382,3.3638415,1.0,0.0,0.0
69.0,9.3,0.9,9300.0,9.13777,4.2341065,2.2300143,-0.105360545,0.0,0.0,1.0
31.5,24.6,2.2,9500.0,9.159047,3.4499876,3.2027464,0.7884574,0.0,1.0,0.0
139.3,14.5,10.2,13400.0,9.50301,4.93663,2.6741486,2.3223877,0.0,1.0,0.0
237.4,27.5,11.0,18900.0,9.846917,5.4697466,3.314186,2.3978953,0.0,0.0,1.0
216.8,43.9,27.2,22300.0,10.0123415,5.3789754,3.7819145,3.303217,0.0,1.0,0.0
199.1,30.6,38.7,18300.0,9.814656,5.293807,3.421,3.6558397,0.0,0.0,1.0
109.8,14.3,31.7,12400.0,9.425451,4.6986604,2.6602595,3.4563167,1.0,0.0,0.0
26.8,33.0,19.3,8800.0,9.082507,3.2884018,3.4965076,2.960105,0.0,0.0,1.0
129.4,5.7,31.3,11000.0,9.305651,4.8629084,1.7404661,3.443618,0.0,0.0,1.0
213.4,24.6,13.1,17000.0,9.740969,5.3631682,3.2027464,2.5726123,0.0,1.0,0.0
16.9,43.7,89.4,8700.0,9.071078,2.8273137,3.777348,4.4931207,0.0,0.0,1.0
27.5,1.6,20.7,6900.0,8.839276,3.314186,0.47000363,3.0301337,0.0,0.0,1.0
120.5,28.5,14.2,14200.0,9.560997,4.79165,3.349904,2.6532419,1.0,0.0,0.0
5.4,29.9,9.4,5300.0,8.575462,1.686399,3.3978584,2.2407095,0.0,0.0,1.0
116.0,7.7,23.1,11000.0,9.305651,4.75359,2.0412202,3.1398327,0.0,0.0,1.0
76.4,26.7,22.3,11800.0,9.3758545,4.335983,3.2846637,3.1045866,0.0,0.0,1.0
239.8,4.1,36.9,12300.0,9.417355,5.4798055,1.4109869,3.6082115,1.0,0.0,0.0
75.3,20.3,32.5,11300.0,9.332558,4.3214803,3.0106208,3.48124,0.0,0.0,1.0
68.4,44.5,35.6,13600.0,9.517825,4.225373,3.795489,3.5723455,0.0,0.0,1.0
213.5,43.0,33.8,21700.0,9.985067,5.363637,3.7612002,3.5204608,0.0,1.0,0.0
193.2,18.4,65.7,15200.0,9.62905,5.2637258,2.9123507,4.1850986,0.0,0.0,1.0
76.3,27.5,16.0,12000.0,9.392662,4.334673,3.314186,2.7725887,0.0,0.0,1.0
110.7,40.6,63.2,16000.0,9.680344,4.706824,3.703768,4.146304,0.0,1.0,0.0
88.3,25.5,73.4,12900.0,9.464983,4.48074,3.2386785,4.295924,1.0,0.0,0.0
109.8,47.8,51.4,16700.0,9.723164,4.6986604,3.8670256,3.9396381,0.0,1.0,0.0
134.3,4.9,9.3,11200.0,9.323669,4.900076,1.5892352,2.2300143,0.0,1.0,0.0
28.6,1.5,33.0,7300.0,8.89563,3.3534067,0.4054651,3.4965076,1.0,0.0,0.0
217.7,33.5,59.0,19400.0,9.873029,5.383118,3.5115454,4.0775375,0.0,0.0,1.0
250.9,36.5,72.3,22200.0,10.007848,5.5250545,3.5973122,4.280824,0.0,1.0,0.0
107.4,14.0,10.9,11500.0,9.350102,4.6765604,2.6390574,2.3887627,0.0,0.0,1.0
163.3,31.6,52.9,16900.0,9.735069,5.095589,3.4531572,3.9684033,1.0,0.0,0.0
197.6,3.5,5.9,11700.0,9.367344,5.286245,1.2527629,1.7749524,1.0,0.0,0.0
184.9,21.0,22.0,15500.0,9.648595,5.2198153,3.0445225,3.0910425,0.0,1.0,0.0
289.7,42.3,51.2,25400.0,10.142505,5.668846,3.744787,3.9357395,0.0,1.0,0.0
135.2,41.7,45.9,17200.0,9.752665,4.906755,3.7305012,3.8264651,0.0,1.0,0.0
222.4,4.3,49.8,11700.0,9.367344,5.4044776,1.4586151,3.908015,0.0,0.0,1.0
296.4,36.3,100.9,23800.0,10.077441,5.69171,3.5918176,4.61413,0.0,1.0,0.0
280.2,10.1,21.4,14800.0,9.602383,5.635504,2.3125355,3.063391,0.0,1.0,0.0
187.9,17.2,17.9,14700.0,9.595603,5.23591,2.8449094,2.8848007,0.0,1.0,0.0
238.2,34.3,5.3,20700.0,9.937889,5.4731107,3.5351453,1.6677068,0.0,1.0,0.0
137.9,46.4,59.0,19200.0,9.862665,4.926529,3.8372996,4.0775375,0.0,1.0,0.0
25.0,11.0,29.7,7200.0,8.881836,3.218876,2.3978953,3.3911471,1.0,0.0,0.0
90.4,0.3,23.2,8700.0,9.071078,4.5042443,-1.2039728,3.1441524,0.0,0.0,1.0
13.1,0.4,25.6,5300.0,8.575462,2.5726123,-0.9162907,3.2425923,1.0,0.0,0.0
255.4,26.9,5.5,19800.0,9.893437,5.542831,3.2921262,1.704748,0.0,1.0,0.0
225.8,8.2,56.5,13400.0,9.50301,5.4196496,2.104134,4.0342407,0.0,0.0,1.0
241.7,38.0,23.2,21800.0,9.989665,5.487697,3.637586,3.1441524,0.0,0.0,1.0
175.7,15.4,2.4,14100.0,9.55393,5.168778,2.7343674,0.8754688,0.0,0.0,1.0
209.6,20.6,10.7,15900.0,9.674074,5.345201,3.0252912,2.3702438,1.0,0.0,0.0
78.2,46.8,34.5,14600.0,9.588777,4.3592696,3.8458831,3.5409594,0.0,1.0,0.0
75.1,35.0,52.7,12600.0,9.441452,4.3188205,3.5553482,3.9646156,0.0,1.0,0.0
139.2,14.3,25.6,12200.0,9.409191,4.9359117,2.6602595,3.2425923,0.0,1.0,0.0
76.4,0.8,14.8,9400.0,9.148465,4.335983,-0.22314353,2.6946273,0.0,0.0,1.0
125.7,36.9,79.2,15900.0,9.674074,4.833898,3.6082115,4.3719764,0.0,0.0,1.0
19.4,16.0,22.3,6600.0,8.794825,2.9652731,2.7725887,3.1045866,1.0,0.0,0.0
141.3,26.8,46.2,15500.0,9.648595,4.9508853,3.2884018,3.83298,0.0,1.0,0.0
18.8,21.7,50.4,7000.0,8.853665,2.9338567,3.0773122,3.9199913,0.0,0.0,1.0
224.0,2.4,15.6,11600.0,9.358761,5.411646,0.8754688,2.7472708,0.0,0.0,1.0
123.1,34.6,12.4,15200.0,9.62905,4.812997,3.5438535,2.5176964,1.0,0.0,0.0
229.5,32.3,74.2,19700.0,9.888374,5.435903,3.4750671,4.306764,0.0,1.0,0.0
87.2,11.8,25.9,10600.0,9.268609,4.4682045,2.4680996,3.254243,0.0,0.0,1.0
7.8,38.9,50.6,6600.0,8.794825,2.0541236,3.6609943,3.9239516,0.0,1.0,0.0
80.2,0.0,9.2,8800.0,9.082507,4.3845234,,2.2192035,0.0,0.0,1.0
220.3,49.0,3.2,24700.0,10.114558,5.3949904,3.8918202,1.1631508,0.0,1.0,0.0
59.6,12.0,43.1,9700.0,9.179881,4.0876555,2.4849067,3.7635229,1.0,0.0,0.0
0.7,39.6,8.7,1600.0,7.377759,-0.35667497,3.6788292,2.163323,1.0,0.0,0.0
265.2,2.9,43.0,12700.0,9.449357,5.5804844,1.0647107,3.7612002,0.0,0.0,1.0
8.4,27.2,2.1,5700.0,8.648221,2.1282318,3.303217,0.7419373,1.0,0.0,0.0
219.8,33.5,45.1,19600.0,9.883285,5.392718,3.5115454,3.8088822,0.0,1.0,0.0
36.9,38.6,65.6,10800.0,9.287301,3.6082115,3.6532521,4.1835756,0.0,1.0,0.0
48.3,47.0,8.5,11600.0,9.358761,3.8774316,3.8501475,2.1400661,0.0,1.0,0.0
25.6,39.0,9.3,9500.0,9.159047,3.2425923,3.6635616,2.2300143,0.0,0.0,1.0
273.7,28.9,59.7,20800.0,9.942708,5.612033,3.3638415,4.089332,0.0,0.0,1.0
43.0,25.9,20.5,9600.0,9.169518,3.7612002,3.254243,3.0204248,0.0,1.0,0.0
184.9,43.9,1.7,20700.0,9.937889,5.2198153,3.7819145,0.53062826,0.0,0.0,1.0
73.4,17.0,12.9,10900.0,9.296518,4.295924,2.8332133,2.5572274,0.0,0.0,1.0
193.7,35.4,75.6,19200.0,9.862665,5.2663107,3.566712,4.325456,0.0,0.0,1.0
220.5,33.2,37.9,20100.0,9.908475,5.395898,3.50255,3.634951,0.0,1.0,0.0
104.6,5.7,34.4,10400.0,9.249561,4.6501436,1.7404661,3.5380566,1.0,0.0,0.0
96.2,14.8,38.9,11400.0,9.341369,4.566429,2.6946273,3.6609943,0.0,0.0,1.0
140.3,1.9,9.0,10300.0,9.2399,4.943783,0.64185387,2.1972246,0.0,0.0,1.0
240.1,7.3,8.7,13200.0,9.487972,5.4810557,1.9878744,2.163323,1.0,0.0,0.0
243.2,49.0,44.3,25400.0,10.142505,5.493884,3.8918202,3.7909846,0.0,0.0,1.0
38.0,40.3,11.9,10900.0,9.296518,3.637586,3.6963515,2.4765384,1.0,0.0,0.0
44.7,25.8,20.6,10100.0,9.220291,3.7999735,3.2503746,3.0252912,0.0,0.0,1.0
280.7,13.9,37.0,16100.0,9.686575,5.6372867,2.6318889,3.6109178,0.0,0.0,1.0
121.0,8.4,48.7,11600.0,9.358761,4.7957907,2.1282318,3.885679,0.0,1.0,0.0
197.6,23.3,14.2,16600.0,9.717158,5.286245,3.1484532,2.6532419,0.0,0.0,1.0
171.3,39.7,37.7,19000.0,9.852194,5.1434164,3.6813512,3.6296601,0.0,1.0,0.0
187.8,21.1,9.5,15600.0,9.655026,5.235378,3.049273,2.2512918,0.0,1.0,0.0
4.1,11.6,5.7,3200.0,8.070906,1.4109869,2.4510052,1.7404661,0.0,0.0,1.0
93.9,43.5,50.5,15300.0,9.635608,4.5422306,3.7727609,3.9219732,0.0,1.0,0.0
149.8,1.3,24.3,10100.0,9.220291,5.009301,0.26236424,3.1904764,0.0,0.0,1.0
11.7,36.9,45.2,7300.0,8.89563,2.4595888,3.6082115,3.8110971,1.0,0.0,0.0
131.7,18.4,34.6,12900.0,9.464983,4.8805265,2.9123507,3.5438535,0.0,0.0,1.0
172.5,18.1,30.7,14400.0,9.574984,5.1503973,2.895912,3.4242628,0.0,0.0,1.0
85.7,35.8,49.3,13300.0,9.49552,4.450853,3.5779479,3.897924,1.0,0.0,0.0
188.4,18.1,25.6,14900.0,9.609117,5.2385674,2.895912,3.2425923,1.0,0.0,0.0
163.5,36.8,7.4,18000.0,9.798127,5.096813,3.6054978,2.00148,0.0,0.0,1.0
117.2,14.7,5.4,11900.0,9.384294,4.7638817,2.6878474,1.686399,1.0,0.0,0.0
234.5,3.4,84.8,11900.0,9.384294,5.4574556,1.2237755,4.4402957,0.0,1.0,0.0
17.9,37.6,21.6,8000.0,8.987197,2.8848007,3.627004,3.0726933,0.0,0.0,1.0
206.8,5.2,19.4,12200.0,9.409191,5.3317523,1.6486586,2.9652731,0.0,1.0,0.0
215.4,23.6,57.6,17100.0,9.746834,5.3724966,3.1612468,4.0535226,0.0,1.0,0.0
284.3,10.6,6.4,15000.0,9.615806,5.65003,2.3608541,1.856298,0.0,0.0,1.0
50.0,11.6,18.4,8400.0,9.035987,3.912023,2.4510052,2.9123507,1.0,0.0,0.0
164.5,20.9,47.4,14500.0,9.581903,5.1029105,3.0397491,3.8586223,0.0,1.0,0.0
19.6,20.1,17.0,7600.0,8.935904,2.9755297,3.0007198,2.8332133,1.0,0.0,0.0
168.4,7.1,12.8,11700.0,9.367344,5.1263423,1.9600948,2.5494452,0.0,0.0,1.0
222.4,3.4,13.1,11500.0,9.350102,5.4044776,1.2237755,2.5726123,0.0,0.0,1.0
276.9,48.9,41.8,27000.0,10.203592,5.6236563,3.8897774,3.7328963,0.0,1.0,0.0
248.4,30.2,20.3,20200.0,9.913438,5.5150404,3.407842,3.0106208,0.0,1.0,0.0
170.2,7.8,35.2,11700.0,9.367344,5.1369743,2.0541236,3.5610461,0.0,1.0,0.0
276.7,2.3,23.7,11800.0,9.3758545,5.622934,0.8329091,3.1654751,0.0,1.0,0.0
165.6,10.0,17.6,12600.0,9.441452,5.1095753,2.3025851,2.867899,0.0,1.0,0.0
156.6,2.6,8.3,10500.0,9.2591305,5.0536947,0.9555114,2.1162555,1.0,0.0,0.0
218.5,5.4,27.4,12200.0,9.409191,5.386786,1.686399,3.310543,1.0,0.0,0.0
56.2,5.7,29.7,8700.0,9.071078,4.028917,1.7404661,3.3911471,0.0,1.0,0.0
287.6,43.0,71.8,26200.0,10.173514,5.6615705,3.7612002,4.2738843,0.0,0.0,1.0
253.8,21.3,30.0,17600.0,9.775654,5.5365467,3.058707,3.4011974,1.0,0.0,0.0
205.0,45.1,19.6,22600.0,10.025705,5.32301,3.8088822,2.9755297,0.0,1.0,0.0
139.5,2.1,26.6,10300.0,9.2399,4.9380646,0.7419373,3.2809112,1.0,0.0,0.0
191.1,28.7,18.2,17300.0,9.758462,5.2527966,3.356897,2.9014215,0.0,0.0,1.0
286.0,13.9,3.7,15900.0,9.674074,5.655992,2.6318889,1.3083328,0.0,0.0,1.0
18.7,12.1,23.4,6700.0,8.809863,2.9285235,2.4932055,3.152736,1.0,0.0,0.0
39.5,41.1,5.8,10800.0,9.287301,3.6763008,3.7160082,1.7578579,0.0,0.0,1.0
75.5,10.8,6.0,9900.0,9.20029,4.3241324,2.3795462,1.7917595,1.0,0.0,0.0
17.2,4.1,31.6,5900.0,8.682708,2.8449094,1.4109869,3.4531572,1.0,0.0,0.0
166.8,42.0,3.6,19600.0,9.883285,5.1167955,3.7376697,1.2809339,0.0,1.0,0.0
149.7,35.6,6.0,17300.0,9.758462,5.008633,3.5723455,1.7917595,0.0,0.0,1.0
38.2,3.7,13.8,7600.0,8.935904,3.6428356,1.3083328,2.6246686,0.0,0.0,1.0
94.2,4.9,8.1,9700.0,9.179881,4.54542,1.5892352,2.091864,0.0,1.0,0.0
177.0,9.3,6.4,12800.0,9.4572,5.17615,2.2300143,1.856298,1.0,0.0,0.0
283.6,42.0,66.2,25500.0,10.146434,5.647565,3.7376697,4.1926804,0.0,1.0,0.0
232.1,8.6,8.7,13400.0,9.50301,5.4471684,2.1517622,2.163323,1.0,0.0,0.0
