gdpc1,gdp,gdpdef,date,daten,quarter,popthm,year,realgdp,gdppc,realgdppc,growth
4205.086,749.323,17.819,1965-07-01,1965-07-01,22.0,194645.0,1965.0,4205.191,3849.6575,21604.227,5.0463014
4301.973,771.857,17.942,1965-10-01,1965-10-01,23.0,195284.0,1965.0,4301.9565,3952.5925,22029.834,7.1618857
4406.693,795.734,18.057,1966-01-01,1966-01-01,24.0,195760.0,1966.0,4406.7896,4064.7825,22510.84,7.210419
4421.747,804.981,18.205,1966-04-01,1966-04-01,25.0,196275.0,1966.0,4421.758,4101.257,22528.188,6.2431397
4459.195,819.638,18.381,1966-07-01,1966-07-01,26.0,196873.0,1966.0,4459.1587,4163.205,22649.502,4.838291
4495.777,833.302,18.535,1966-10-01,1966-10-01,27.0,197485.0,1966.0,4495.8296,4219.6636,22765.922,3.341323
4535.591,844.17,18.612,1967-01-01,1967-01-01,28.0,197965.0,1967.0,4535.622,4264.1953,22911.0,1.7776332
4538.37,848.983,18.707,1967-04-01,1967-04-01,29.0,198452.0,1967.0,4538.3174,4277.955,22868.207,1.5093071
4581.309,865.233,18.886,1967-07-01,1967-07-01,30.0,199012.0,1967.0,4581.346,4347.6426,23020.451,1.6377809
4615.853,881.439,19.096,1967-10-01,1967-10-01,31.0,199578.0,1967.0,4615.8306,4416.6465,23128.648,1.5932873
4709.993,909.387,19.308,1968-01-01,1968-01-01,32.0,199988.0,1968.0,4709.8975,4547.056,23550.115,2.7895563
4788.688,934.344,19.511,1968-04-01,1968-04-01,33.0,200449.0,1968.0,4788.806,4661.1934,23890.078,4.468523
4825.799,950.825,19.703,1968-07-01,1968-07-01,34.0,200997.0,1968.0,4825.788,4730.5356,24009.215,4.295153
4844.779,968.03,19.981,1968-10-01,1968-10-01,35.0,201544.0,1968.0,4844.7524,4803.221,24038.941,3.935781
4920.605,993.337,20.187,1969-01-01,1969-01-01,36.0,201952.0,1969.0,4920.677,4918.6055,24365.213,3.4611197
4935.564,1009.02,20.444,1969-04-01,1969-04-01,37.0,202419.0,1969.0,4935.5312,4984.8086,24382.746,2.0622284
4968.164,1029.956,20.731,1969-07-01,1969-07-01,38.0,202984.0,1969.0,4968.1924,5074.033,24475.582,1.9424508
4943.935,1038.147,20.998,1969-10-01,1969-10-01,39.0,203588.0,1969.0,4944.028,5099.363,24284.992,1.0235509
4936.594,1051.2,21.294,1970-01-01,1970-01-01,40.0,204082.0,1970.0,4936.602,5150.778,24188.871,-0.72374415
4943.6,1067.375,21.591,1970-04-01,1970-04-01,41.0,204719.0,1970.0,4943.611,5213.795,24148.002,-0.9627469
4989.159,1086.059,21.768,1970-07-01,1970-07-01,42.0,205418.0,1970.0,4989.2456,5287.0513,24288.18,-0.76567066
4935.693,1088.608,22.056,1970-10-01,1970-10-01,43.0,206131.0,1970.0,4935.655,5281.1807,23944.416,-1.4024142
5069.746,1135.156,22.391,1971-01-01,1971-01-01,44.0,206762.0,1971.0,5069.6978,5490.1313,24519.367,1.3663146
5097.179,1156.271,22.685,1971-04-01,1971-04-01,45.0,207361.0,1971.0,5097.0728,5576.0986,24580.553,1.7912488
5139.128,1177.675,22.916,1971-07-01,1971-07-01,46.0,207998.0,1971.0,5139.0947,5661.908,24707.225,1.7253039
5151.245,1190.297,23.107,1971-10-01,1971-10-01,47.0,208648.0,1971.0,5151.2397,5704.9644,24689.332,3.1110218
5245.974,1230.609,23.458,1972-01-01,1972-01-01,48.0,209137.0,1972.0,5246.01,5884.093,25083.521,2.3008518
5365.045,1266.369,23.604,1972-04-01,1972-04-01,49.0,209635.0,1972.0,5365.061,6040.761,25592.107,4.1152644
5415.712,1290.566,23.83,1972-07-01,1972-07-01,50.0,210177.0,1972.0,5415.7197,6140.2695,25766.973,4.289223
5506.396,1328.904,24.134,1972-10-01,1972-10-01,51.0,210739.0,1972.0,5506.356,6305.993,26129.082,5.831466
5642.669,1377.49,24.412,1973-01-01,1973-01-01,52.0,211187.0,1973.0,5642.676,6522.4434,26718.186,6.5168843
5704.098,1413.887,24.787,1973-04-01,1973-04-01,53.0,211662.0,1973.0,5704.1475,6679.897,26949.195,5.3027596
5674.1,1433.838,25.27,1973-07-01,1973-07-01,54.0,212191.0,1973.0,5674.0723,6757.2886,26740.36,3.7776527
5727.96,1476.289,25.773,1973-10-01,1973-10-01,55.0,212710.0,1973.0,5728.045,6940.4487,26929.146,3.0619693
5678.713,1491.209,26.26,1974-01-01,1974-01-01,56.0,213143.0,1974.0,5678.633,6996.2515,26642.236,-0.2842604
5692.21,1530.056,26.88,1974-04-01,1974-04-01,57.0,213600.0,1974.0,5692.173,7163.1055,26648.459,-1.1159381
5638.411,1560.026,27.668,1974-07-01,1974-07-01,58.0,214144.0,1974.0,5638.3765,7284.837,26329.467,-1.5366008
5616.526,1599.679,28.482,1974-10-01,1974-10-01,59.0,214704.0,1974.0,5616.456,7450.7754,26159.594,-2.8576944
5548.156,1616.116,29.129,1975-01-01,1975-01-01,60.0,215132.0,1975.0,5548.1343,7512.0903,25789.043,-3.202409
5587.8,1651.853,29.562,1975-04-01,1975-04-01,61.0,215646.0,1975.0,5587.758,7659.82,25911.033,-2.7672362
5683.444,1709.82,30.084,1975-07-01,1975-07-01,62.0,216294.0,1975.0,5683.4863,7905.2446,26277.238,-0.19836526
5759.972,1761.831,30.587,1975-10-01,1975-10-01,63.0,216851.0,1975.0,5760.065,8124.74,26562.725,1.541044
5889.5,1820.487,30.911,1976-01-01,1976-01-01,64.0,217315.0,1976.0,5889.4473,8377.219,27101.094,5.087629
5932.711,1852.332,31.222,1976-04-01,1976-04-01,65.0,217773.0,1976.0,5932.7783,8505.676,27242.572,5.1388884
5965.265,1886.558,31.626,1976-07-01,1976-07-01,66.0,218337.0,1976.0,5965.2124,8640.552,27321.041,3.9722695
6008.504,1934.273,32.192,1976-10-01,1976-10-01,67.0,218920.0,1976.0,6008.552,8835.632,27446.67,3.327766
6079.494,1988.648,32.711,1977-01-01,1977-01-01,68.0,219424.0,1977.0,6079.4473,9062.928,27706.055,2.232238
6197.686,2055.909,33.172,1977-04-01,1977-04-01,69.0,219953.0,1977.0,6197.724,9346.91,28177.11,3.430429
6309.514,2118.473,33.576,1977-07-01,1977-07-01,70.0,220573.0,1977.0,6309.486,9604.422,28605.021,4.699603
6309.652,2164.27,34.301,1977-10-01,1977-10-01,71.0,221206.0,1977.0,6309.641,9784.178,28524.469,3.9268837
6329.791,2202.76,34.8,1978-01-01,1978-01-01,72.0,221711.0,1978.0,6329.77,9934.933,28548.656,3.041218
6574.39,2331.633,35.465,1978-04-01,1978-04-01,73.0,222278.0,1978.0,6574.462,10489.559,29577.21,4.9689326
6640.497,2395.053,36.067,1978-07-01,1978-07-01,74.0,222933.0,1978.0,6640.5664,10743.392,29787.318,4.1331797
6729.755,2476.949,36.806,1978-10-01,1978-10-01,75.0,223585.0,1978.0,6729.7427,11078.432,30099.527,5.5217805
6741.854,2526.61,37.476,1979-01-01,1979-01-01,76.0,224150.0,1979.0,6741.9414,11271.86,30077.543,5.355372
6749.063,2591.247,38.394,1979-04-01,1979-04-01,77.0,224734.0,1979.0,6749.0938,11530.131,30031.076,1.5345099
6799.2,2667.565,39.234,1979-07-01,1979-07-01,78.0,225419.0,1979.0,6799.1157,11833.843,30162.213,1.2585709
6816.203,2723.883,39.962,1979-10-01,1979-10-01,79.0,226120.0,1979.0,6816.183,12046.326,30144.453,0.14925744
6837.641,2789.842,40.801,1980-01-01,1980-01-01,80.0,226753.0,1980.0,6837.6807,12303.386,30154.62,0.25625822
6696.753,2797.352,41.772,1980-04-01,1980-04-01,81.0,227387.0,1980.0,6696.7153,12302.055,29450.48,-1.9333163
6688.794,2856.483,42.705,1980-07-01,1980-07-01,82.0,228070.0,1980.0,6688.8726,12524.552,29328.07,-2.7655218
6813.535,2985.557,43.818,1980-10-01,1980-10-01,83.0,228696.0,1980.0,6813.54,13055.059,29793.824,-1.1631622
6947.042,3124.206,44.972,1981-01-01,1981-01-01,84.0,229148.0,1981.0,6947.0024,13633.573,30315.693,0.53416103
6895.559,3162.532,45.863,1981-04-01,1981-04-01,85.0,229668.0,1981.0,6895.6064,13769.676,30023.496,1.945692
6978.135,3260.609,46.726,1981-07-01,1981-07-01,86.0,230300.0,1981.0,6978.147,14158.012,30300.072,3.3142376
6902.105,3280.818,47.534,1981-10-01,1981-10-01,87.0,230906.0,1981.0,6902.045,14208.601,29891.447,0.32766202
6794.878,3274.302,48.188,1982-01-01,1982-01-01,88.0,231392.0,1982.0,6794.849,14150.271,29364.719,-3.1369054
6825.876,3331.972,48.814,1982-04-01,1982-04-01,89.0,231901.0,1982.0,6825.853,14367.77,29433.705,-1.9644315
6799.781,3366.322,49.506,1982-07-01,1982-07-01,90.0,232496.0,1982.0,6799.826,14478.929,29246.816,-3.4760838
6802.497,3402.561,50.019,1982-10-01,1982-10-01,91.0,233077.0,1982.0,6802.537,14598.609,29186.127,-2.3596058
6892.144,3473.413,50.397,1983-01-01,1983-01-01,92.0,233543.0,1983.0,6892.1025,14872.501,29510.686,0.49708223
7048.982,3578.848,50.771,1983-04-01,1983-04-01,93.0,234020.0,1983.0,7049.0005,15292.371,30120.287,2.3326387
7189.896,3689.179,51.311,1983-07-01,1983-07-01,94.0,234601.0,1983.0,7189.8403,15725.199,30646.838,4.786919
7339.893,3794.706,51.7,1983-10-01,1983-10-01,95.0,235157.0,1983.0,7339.857,16137.156,31213.068,6.9448795
7483.371,3908.054,52.223,1984-01-01,1984-01-01,96.0,235601.0,1984.0,7483.396,16587.336,31762.512,7.630545
7612.668,4009.601,52.67,1984-04-01,1984-04-01,97.0,236077.0,1984.0,7612.6846,16983.91,32245.889,7.0570426
7686.059,4084.25,53.138,1984-07-01,1984-07-01,98.0,236655.0,1984.0,7686.119,17258.076,32477.842,5.974528
7749.151,4148.551,53.536,1984-10-01,1984-10-01,99.0,237238.0,1984.0,7749.0864,17487.268,32664.5,4.650077
7824.247,4230.168,54.065,1985-01-01,1985-01-01,100.0,237667.0,1985.0,7824.2266,17798.293,32920.176,3.6447496
7893.136,4294.887,54.413,1985-04-01,1985-04-01,101.0,238172.0,1985.0,7893.1265,18032.434,33139.938,2.7725978
8013.674,4386.773,54.741,1985-07-01,1985-07-01,102.0,238789.0,1985.0,8013.688,18370.893,33559.656,3.330931
8073.239,4444.094,55.047,1985-10-01,1985-10-01,103.0,239392.0,1985.0,8073.272,18564.5,33724.816,3.2460818
8148.603,4507.894,55.321,1986-01-01,1986-01-01,104.0,239858.0,1986.0,8148.613,18793.803,33972.273,3.1959054
8185.303,4545.34,55.531,1986-04-01,1986-04-01,105.0,240365.0,1986.0,8185.23,18909.947,34052.957,2.755043
8263.639,4607.669,55.758,1986-07-01,1986-07-01,106.0,240961.0,1986.0,8263.691,19122.0,34294.63,2.1900482
8308.021,4657.627,56.062,1986-10-01,1986-10-01,107.0,241544.0,1986.0,8307.993,19283.127,34396.074,1.9903972
8369.93,4722.156,56.418,1987-01-01,1987-01-01,108.0,242005.0,1987.0,8369.945,19512.29,34585.22,1.8042517
8460.233,4806.16,56.809,1987-04-01,1987-04-01,109.0,242516.0,1987.0,8460.209,19817.582,34884.582,2.442152
8533.635,4884.555,57.239,1987-07-01,1987-07-01,110.0,243118.0,1987.0,8533.613,20091.102,35100.37,2.3494704
8680.162,5007.994,57.695,1987-10-01,1987-10-01,111.0,243724.0,1987.0,8680.118,20548.088,35615.027,3.5438728
8725.006,5073.372,58.147,1988-01-01,1988-01-01,112.0,244205.0,1988.0,8725.079,20774.826,35728.113,3.3045752
8839.641,5190.036,58.713,1988-04-01,1988-04-01,113.0,244708.0,1988.0,8839.671,21208.346,36122.062,3.5473564
8891.435,5282.835,59.415,1988-07-01,1988-07-01,114.0,245352.0,1988.0,8891.416,21531.48,36239.133,3.244301
9009.913,5399.509,59.929,1988-10-01,1988-10-01,115.0,245970.0,1988.0,9009.844,21952.229,36630.395,2.8509517
9101.508,5511.253,60.553,1989-01-01,1989-01-01,116.0,246454.0,1989.0,9101.536,22361.623,36929.01,3.3612142
9170.977,5612.463,61.198,1989-04-01,1989-04-01,117.0,247010.0,1989.0,9170.991,22720.928,37126.914,2.7818222
9238.923,5695.365,61.645,1989-07-01,1989-07-01,118.0,247695.0,1989.0,9238.974,22993.15,37299.297,2.9254675
9257.128,5747.237,62.084,1989-10-01,1989-10-01,119.0,248380.0,1989.0,9257.195,23139.416,37271.145,1.7492304
9358.289,5872.701,62.754,1990-01-01,1990-01-01,120.0,248920.0,1990.0,9358.289,23591.178,37593.1,1.7982876
9392.251,5960.028,63.457,1990-04-01,1990-04-01,121.0,249707.0,1990.0,9392.231,23867.703,37612.406,1.3076557
9398.499,6015.116,64.001,1990-07-01,1990-07-01,122.0,250595.0,1990.0,9398.472,24003.367,37504.676,0.5506241
9312.937,6004.733,64.477,1990-10-01,1990-10-01,123.0,251486.0,1990.0,9312.984,23877.418,37032.457,-0.6404083
9269.367,6035.178,65.109,1991-01-01,1991-01-01,124.0,252253.0,1991.0,9269.346,23924.69,36745.594,-2.2544239
9341.642,6126.862,65.587,1991-04-01,1991-04-01,125.0,253060.0,1991.0,9341.58,24210.848,36914.098,-1.8565911
9388.845,6205.937,66.099,1991-07-01,1991-07-01,126.0,253966.0,1991.0,9388.852,24436.158,36969.027,-1.4282178
9421.565,6264.54,66.492,1991-10-01,1991-10-01,127.0,254841.0,1991.0,9421.494,24582.7,36970.91,-0.16619712
9534.346,6363.102,66.739,1992-01-01,1992-01-01,128.0,255576.0,1992.0,9534.309,24896.227,37303.867,1.5192935
9637.732,6470.763,67.14,1992-04-01,1992-04-01,129.0,256437.0,1992.0,9637.717,25233.115,37582.836,1.8116068
9732.979,6566.641,67.468,1992-07-01,1992-07-01,130.0,257390.0,1992.0,9732.971,25512.846,37814.734,2.2876096
9834.51,6680.803,67.932,1992-10-01,1992-10-01,131.0,258280.0,1992.0,9834.545,25866.846,38077.56,2.9932952
9850.973,6729.459,68.313,1993-01-01,1993-01-01,132.0,259036.0,1993.0,9850.92,25978.521,38028.664,1.9429537
9908.347,6808.939,68.719,1993-04-01,1993-04-01,133.0,259822.0,1993.0,9908.379,26205.764,38134.67,1.468319
9955.641,6882.098,69.128,1993-07-01,1993-07-01,134.0,260717.0,1993.0,9955.587,26397.084,38185.805,0.981285
10091.049,7013.738,69.505,1993-10-01,1993-10-01,135.0,261550.0,1993.0,10090.983,26816.393,38581.96,1.3246709
10188.954,7115.652,69.837,1994-01-01,1994-01-01,136.0,262237.0,1994.0,10188.942,27133.123,38852.07,2.1652253
10327.019,7246.931,70.174,1994-04-01,1994-04-01,137.0,263014.0,1994.0,10327.089,27552.707,39263.414,2.9598844
10387.382,7331.075,70.577,1994-07-01,1994-07-01,138.0,263871.0,1994.0,10387.343,27782.904,39365.38,3.0890386
10506.372,7455.288,70.96,1994-10-01,1994-10-01,139.0,264681.0,1994.0,10506.324,28167.352,39694.688,2.8840592
10543.644,7522.289,71.344,1995-01-01,1995-01-01,140.0,265383.0,1995.0,10543.688,28344.459,39729.28,2.257823
10575.1,7580.997,71.687,1995-04-01,1995-04-01,141.0,266134.0,1995.0,10575.135,28484.82,39734.984,1.2010425
10665.06,7683.125,72.04,1995-07-01,1995-07-01,142.0,266998.0,1995.0,10665.082,28775.678,39944.027,1.4699425
10737.478,7772.586,72.387,1995-10-01,1995-10-01,143.0,267829.0,1995.0,10737.544,29021.64,40092.34,1.0017773
10817.896,7868.468,72.736,1996-01-01,1996-01-01,144.0,268480.0,1996.0,10817.846,29306.662,40291.83,1.4159503
10998.322,8032.84,73.037,1996-04-01,1996-04-01,145.0,269247.0,1996.0,10998.316,29833.982,40847.77,2.8005173
11096.976,8131.408,73.276,1996-07-01,1996-07-01,146.0,270130.0,1996.0,11096.959,30102.018,41080.32,2.844713
11212.205,8259.771,73.668,1996-10-01,1996-10-01,147.0,271002.0,1996.0,11212.156,30479.799,41374.543,3.198125
11284.587,8362.655,74.107,1997-01-01,1997-01-01,148.0,271703.0,1997.0,11284.568,30777.982,41531.816,3.077518
11472.137,8518.825,74.257,1997-04-01,1997-04-01,149.0,272482.0,1997.0,11472.083,31263.195,42101.344,3.0688927
11615.636,8662.823,74.579,1997-07-01,1997-07-01,150.0,273395.0,1997.0,11615.633,31686.61,42487.31,3.4249692
11715.393,8765.907,74.824,1997-10-01,1997-10-01,151.0,274249.0,1997.0,11715.368,31963.703,42718.52,3.2483177
11832.486,8866.48,74.933,1998-01-01,1998-01-01,152.0,274943.0,1998.0,11832.544,32247.61,43035.258,3.619975
11942.032,8969.699,75.11,1998-04-01,1998-04-01,153.0,275700.0,1998.0,11942.084,32533.879,43314.977,2.8826463
12091.614,9121.097,75.433,1998-07-01,1998-07-01,154.0,276566.0,1998.0,12091.653,32980.1,43721.05,2.90379
12287.0,9293.991,75.641,1998-10-01,1998-10-01,155.0,277402.0,1998.0,12286.976,33503.934,44293.35,3.6865323
12403.293,9417.264,75.926,1999-01-01,1999-01-01,156.0,278095.0,1999.0,12403.214,33862.46,44599.297,3.6343203
12498.694,9524.152,76.201,1999-04-01,1999-04-01,157.0,278859.0,1999.0,12498.723,34153.438,44820.19,3.4750447
12662.385,9681.856,76.462,1999-07-01,1999-07-01,158.0,279752.0,1999.0,12662.311,34608.836,45262.79,3.5263066
12877.593,9899.378,76.873,1999-10-01,1999-10-01,159.0,280594.0,1999.0,12877.574,35280.285,45894.246,3.6142998
12924.179,10002.857,77.396,2000-01-01,2000-01-01,160.0,281299.0,2000.0,12924.256,35558.844,45944.03,3.015147
13160.842,10247.679,77.865,2000-04-01,2000-04-01,161.0,281996.0,2000.0,13160.828,36339.03,46669.273,4.125556
13178.419,10319.825,78.309,2000-07-01,2000-07-01,162.0,282769.0,2000.0,13178.338,36495.65,46604.664,2.9646318
13260.506,10439.025,78.723,2000-10-01,2000-10-01,163.0,283523.0,2000.0,13260.451,36819.535,46771.0,1.9103787
13222.69,10472.879,79.204,2001-01-01,2001-01-01,164.0,284166.0,2001.0,13222.664,36854.45,46531.043,1.2776669
13299.984,10597.822,79.683,2001-04-01,2001-04-01,165.0,284834.0,2001.0,13299.979,37206.574,46693.24,0.05135037
13244.784,10596.294,80.004,2001-07-01,2001-07-01,166.0,285584.0,2001.0,13244.705,37104.035,46377.723,-0.48694998
13280.859,10660.294,80.268,2001-10-01,2001-10-01,167.0,286315.0,2001.0,13280.877,37233.223,46386.137,-0.82286733
13397.002,10788.952,80.533,2002-01-01,2002-01-01,168.0,286935.0,2002.0,13396.933,37600.684,46689.78,0.3411449
13478.152,10893.207,80.821,2002-04-01,2002-04-01,169.0,287571.0,2002.0,13478.188,37879.664,46868.594,0.3755479
13538.072,10992.051,81.194,2002-07-01,2002-07-01,170.0,288303.0,2002.0,13538.009,38126.777,46957.63,1.2503983
13559.032,11071.463,81.654,2002-10-01,2002-10-01,171.0,289012.0,2002.0,13558.996,38308.68,46915.86,1.1419848
13634.253,11183.507,82.025,2003-01-01,2003-01-01,172.0,289606.0,2003.0,13634.267,38615.883,47078.188,0.83188707
13751.543,11312.875,82.266,2003-04-01,2003-04-01,173.0,290250.0,2003.0,13751.58,38975.957,47377.965,1.0868069
13985.073,11567.326,82.712,2003-07-01,2003-07-01,174.0,290974.0,2003.0,13985.063,39753.812,48062.934,2.3538342
14145.645,11769.275,83.201,2003-10-01,2003-10-01,175.0,291677.0,2003.0,14145.593,40351.43,48498.73,3.3738508
14221.147,11920.169,83.82,2004-01-01,2004-01-01,176.0,292230.0,2004.0,14221.151,40789.438,48663.133,3.3666234
14329.523,12108.987,84.504,2004-04-01,2004-04-01,177.0,292872.0,2004.0,14329.483,41345.19,48926.902,3.2693205
14464.984,12303.34,85.056,2004-07-01,2004-07-01,178.0,293603.0,2004.0,14464.987,41904.633,49267.105,2.5054066
14609.876,12522.425,85.712,2004-10-01,2004-10-01,179.0,294337.0,2004.0,14609.886,42544.95,49637.098,2.3472102
14771.602,12761.337,86.391,2005-01-01,2005-01-01,180.0,294955.0,2005.0,14771.6045,43265.027,50080.477,2.9125617
14839.782,12910.022,86.996,2005-04-01,2005-04-01,181.0,295582.0,2005.0,14839.788,43675.68,50204.24,2.6107028
14972.054,13142.873,87.783,2005-07-01,2005-07-01,182.0,296338.0,2005.0,14972.003,44350.6,50523.0,2.5491543
15066.597,13332.316,88.489,2005-10-01,2005-10-01,183.0,297089.0,2005.0,15066.637,44877.01,50714.79,2.1711411
15267.026,13603.933,89.107,2006-01-01,2006-01-01,184.0,297734.0,2006.0,15266.963,45691.16,51276.734,2.388671
15302.705,13749.806,89.852,2006-04-01,2006-04-01,185.0,298401.0,2006.0,15302.727,46077.203,51281.223,2.145206
15326.368,13867.469,90.481,2006-07-01,2006-07-01,186.0,299178.0,2006.0,15326.388,46351.59,51227.98,1.3953654
15456.928,14037.228,90.815,2006-10-01,2006-10-01,187.0,299950.0,2006.0,15456.949,46799.184,51532.44,1.6122562
15493.328,14208.569,91.708,2007-01-01,2007-01-01,188.0,300608.0,2007.0,15493.271,47265.844,51539.5,0.5124461
15582.085,14382.363,92.301,2007-04-01,2007-04-01,189.0,301278.0,2007.0,15582.022,47736.95,51718.777,0.85324544
15666.738,14535.003,92.776,2007-07-01,2007-07-01,190.0,302064.0,2007.0,15666.7705,48119.164,51865.96,1.245375
15761.967,14681.501,93.145,2007-10-01,2007-10-01,191.0,302834.0,2007.0,15761.985,48481.215,52049.188,1.0027589
15671.383,14651.039,93.489,2008-01-01,2008-01-01,192.0,303494.0,2008.0,15671.404,48274.613,51636.68,0.18855381
15752.308,14805.611,93.99,2008-04-01,2008-04-01,193.0,304157.0,2008.0,15752.326,48677.1,51789.664,0.13706186
15667.032,14835.187,94.69,2008-07-01,2008-07-01,194.0,304903.0,2008.0,15667.11,48655.535,51384.027,-0.9291905
15328.027,14559.543,94.986,2008-10-01,2008-10-01,195.0,305620.0,2008.0,15328.094,47639.887,50154.64,-3.6399164
15155.94,14394.547,94.976,2009-01-01,2009-01-01,196.0,306237.0,2009.0,15155.983,47004.652,49491.082,-4.1551814
15134.117,14352.85,94.838,2009-04-01,2009-04-01,197.0,306863.0,2009.0,15134.07,46772.37,49318.17,-4.7721725
15189.222,14420.312,94.938,2009-07-01,2009-07-01,198.0,307570.0,2009.0,15189.188,46884.246,49384.066,-3.892184
15356.058,14628.021,95.259,2009-10-01,2009-10-01,199.0,308289.0,2009.0,15356.052,47449.668,49811.22,-0.684726
15415.145,14721.35,95.499,2010-01-01,2010-01-01,200.0,308904.0,2010.0,15415.1875,47657.08,49903.22,0.8327495
15557.277,14926.098,95.943,2010-04-01,2010-04-01,201.0,309457.0,2010.0,15557.256,48232.773,50272.324,1.9346871
15671.967,15079.917,96.222,2010-07-01,2010-07-01,202.0,310060.0,2010.0,15672.005,48635.113,50544.69,2.3502014
15750.625,15240.843,96.763,2010-10-01,2010-10-01,203.0,310677.0,2010.0,15750.693,49057.297,50698.402,1.7810919
15712.754,15285.828,97.283,2011-01-01,2011-01-01,204.0,311173.0,2011.0,15712.743,49122.72,50494.66,1.1851768
15825.096,15496.189,97.922,2011-04-01,2011-04-01,205.0,311678.0,2011.0,15825.033,49717.63,50772.684,0.99529785
15820.7,15591.85,98.553,2011-07-01,2011-07-01,206.0,312292.0,2011.0,15820.776,49927.047,50660.098,0.22832516
16004.107,15796.46,98.703,2011-10-01,2011-10-01,207.0,312889.0,2011.0,16004.032,50486.15,51149.56,0.88988256
16129.418,16019.758,99.32,2012-01-01,2012-01-01,208.0,313383.0,2012.0,16129.438,51118.402,51468.387,1.9283754
16198.807,16152.257,99.713,2012-04-01,2012-04-01,209.0,313883.0,2012.0,16198.747,51458.605,51606.72,1.6426848
16220.667,16257.151,100.225,2012-07-01,2012-07-01,210.0,314489.0,2012.0,16220.654,51694.027,51577.977,1.811838
16239.138,16358.863,100.737,2012-10-01,2012-10-01,211.0,315092.0,2012.0,16239.181,51918.887,51539.047,0.7614695
16382.964,16569.591,101.139,2013-01-01,2013-01-01,212.0,315535.0,2013.0,16382.988,52512.023,51920.645,0.8787099
16403.18,16637.926,101.431,2013-04-01,2013-04-01,213.0,316016.0,2013.0,16403.195,52648.39,51905.617,0.5791851
16531.685,16848.748,101.918,2013-07-01,2013-07-01,214.0,316627.0,2013.0,16531.67,53213.406,52211.98,1.2292144
16663.649,17083.137,102.517,2013-10-01,2013-10-01,215.0,317248.0,2013.0,16663.71,53848.574,52526.48,1.9158942
