shortnam,logpgp95,avexpr,lat_abst,logem4,edes1975,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,landlock,goldm,iron,silv,zinc,oilres,baseco,indtime,euro1900,democ1,cons1,democ00a,cons00a
CMR,7.501082,6.4545455,0.06666667,5.6347895,0.0,0.8520455,25.0,31.0,36.0,14.0,17.0,97.0,98.0,62.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31900.0,1.0,35.0,0.0,0.0,3.0,0.0,1.0
COG,7.420579,4.681818,0.011111111,5.480639,0.0,0.66927534,25.0,32.0,37.0,12.0,19.0,77.0,89.0,54.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338000.0,1.0,35.0,0.0,5.0,4.0,0.0,1.0
COL,8.809863,7.318182,0.044444446,4.26268,25.0,0.05579602,14.0,22.0,24.0,4.0,7.0,82.0,88.0,51.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,163.0,20.0,4.0,3.0,3.0,5.0
CRI,8.794825,7.0454545,0.11111111,4.3579903,20.0,0.053214286,21.0,29.0,33.0,9.0,14.0,80.0,92.0,55.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,157.0,20.0,0.0,3.0,10.0,7.0
DOM,8.364042,6.181818,0.21111111,4.8675346,25.0,0.010830564,26.0,33.0,37.0,15.0,20.0,88.0,92.0,58.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,151.0,25.0,1.0,3.0,1.0,3.0
DZA,8.389359,6.5,0.31111112,4.3592696,0.0,0.29372403,21.0,24.0,42.0,0.0,1.0,67.0,75.0,57.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339000.0,1.0,33.0,13.0,0.0,2.0,0.0,1.0
ECU,8.470101,6.5454545,0.022222223,4.26268,30.000002,0.32535714,15.0,26.0,30.0,0.0,4.0,80.0,94.0,40.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,1.0,165.0,30.000002,1.0,3.0,1.0,3.0
EGY,7.9515595,6.7727275,0.3,4.2165623,0.0,0.023061818,24.0,31.0,47.0,1.0,17.0,50.0,70.0,18.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111000.0,1.0,184.0,0.0,0.0,1.0,7.0,7.0
ETH,6.1092477,5.7272725,0.08888889,3.2580965,0.0,0.6770825,17.0,27.0,34.0,0.0,7.0,56.0,86.0,33.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,0.0,1.0,5.0,7.0
GAB,8.907883,7.818182,0.011111111,5.6347895,0.0,0.7966667,27.0,33.0,37.0,17.0,19.0,85.0,95.0,69.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579000.0,1.0,35.0,0.0,0.0,2.0,0.0,1.0
GHA,7.36518,6.2727275,0.08888889,6.504288,0.0,0.7060708,27.0,32.0,38.0,15.0,21.0,95.0,97.0,61.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0
GIN,7.4899707,6.5454545,0.12222222,6.1800165,0.0,0.75983,27.0,31.0,36.0,17.0,21.0,83.0,94.0,63.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,1.0,0.0,1.0
GMB,7.2723985,8.272727,0.14755556,7.293018,0.0,0.78037035,24.0,33.0,41.0,7.0,21.0,66.0,95.0,26.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,10.0,7.0,0.0,1.0
GTM,8.294049,5.1363635,0.17,4.26268,20.0,0.47666666,19.0,28.0,32.0,5.0,12.0,81.0,92.0,51.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,1.0,156.0,20.0,1.0,1.0,0.0,1.0
GUY,7.904704,5.8863635,0.055555556,3.4713452,2.0,0.23777778,27.0,31.0,34.0,20.0,22.0,83.0,93.0,69.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,2.0,5.0,7.0,0.0,1.0
HKG,10.04975,8.136364,0.24611111,2.7013612,0.0,0.23682119,21.0,26.0,36.0,0.0,22.0,73.0,87.0,60.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.0,,,,
HND,7.6870804,5.318182,0.16666667,4.3579903,20.0,0.09735931,22.0,25.0,30.0,14.0,18.0,79.0,91.0,43.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,156.0,20.0,1.0,3.0,6.0,5.0
HTI,7.1467724,3.7272727,0.21111111,4.8675346,0.0,0.06440476,27.0,34.0,38.0,16.0,20.0,68.0,79.0,43.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175.0,0.0,0.0,1.0,0.0,1.0
IDN,8.070906,7.590909,0.0556,5.1357985,0.0,0.7421975,28.0,33.0,37.0,19.0,21.0,90.0,95.0,61.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29700.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0
IND,7.326,8.272727,0.2222,3.8842406,0.0,0.69056785,24.0,28.0,46.0,-1.0,22.0,35.0,80.0,19.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,6750.0,1.0,45.0,0.0,9.0,7.0,0.0,1.0
JAM,8.188689,7.090909,0.20166667,4.8675346,10.0,0.0125,26.0,33.0,36.0,14.0,20.0,77.0,88.0,61.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.9,10.0,7.0,0.0,1.0
KEN,7.056175,6.0454545,0.011111111,4.9767337,0.0,0.82696486,18.0,26.0,31.0,5.0,11.0,74.0,89.0,40.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,5.0,5.0,0.0,1.0
LKA,7.7319307,6.0454545,0.07777778,4.245634,0.0,0.32574692,27.0,31.0,36.0,15.0,22.0,71.0,80.0,66.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,0.0,7.0,7.0,0.0,1.0
MAR,8.042378,7.090909,0.35555556,4.3592696,1.0,0.34797192,24.0,27.0,48.0,0.0,12.0,87.0,92.0,59.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195.0,1.0,1.0,1.0,1.0,1.0
MDG,6.8351846,4.4545455,0.22222222,6.284209,0.0,0.06274864,18.0,27.0,35.0,1.0,12.0,85.0,94.0,49.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,3.0,4.0,0.0,1.0
MEX,8.943768,7.5,0.25555557,4.26268,15.000001,0.17407407,16.0,23.0,32.0,-3.0,9.0,66.0,86.0,26.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,570000.0,1.0,173.0,15.000001,1.0,3.0,0.0,1.0
MLI,6.565265,4.0,0.18888889,7.986165,0.0,0.80856913,29.0,36.0,47.0,8.0,19.0,33.0,94.0,18.0,73.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,3.0,0.0,1.0
MLT,9.427063,7.2272725,0.39444444,2.791165,100.0,0.10333333,23.0,22.0,40.0,5.0,18.0,71.0,78.0,59.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
MYS,8.8942585,7.9545455,0.025555555,2.8735647,0.0,0.6103704,28.0,35.0,37.0,18.0,21.0,95.0,97.0,58.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192000.0,1.0,38.0,0.0,10.0,7.0,0.0,1.0
NER,6.733402,5.0,0.17777778,5.9914646,0.0,0.73291427,29.0,38.0,46.0,8.0,19.0,26.0,91.0,11.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,3.0,0.0,1.0
NGA,6.8134446,5.5454545,0.11111111,7.6029005,0.0,0.856709,28.0,34.0,40.0,16.0,21.0,81.0,87.0,65.0,80.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168000.0,1.0,35.0,0.0,8.0,7.0,0.0,1.0
NIC,7.544332,5.2272725,0.14444445,5.095589,20.0,0.099179566,27.0,31.0,34.0,20.0,23.0,80.0,92.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,157.0,20.0,1.0,1.0,1.0,1.0
NZL,9.756147,9.727273,0.45555556,2.1459312,91.7,0.14756992,15.0,19.0,31.0,-2.0,5.0,73.0,81.0,67.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48300.0,1.0,138.0,93.0,10.0,7.0,10.0,7.0
PAK,7.3524413,6.0454545,0.33333334,3.6106477,0.0,0.62155986,22.0,24.0,48.0,-4.0,17.0,19.0,54.0,19.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3220.0,1.0,48.0,0.0,1.0,1.0,0.0,1.0
PAN,8.836374,5.909091,0.1,5.095589,20.0,0.19083333,27.0,34.0,36.0,17.0,21.0,81.0,91.0,78.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,20.0,0.0,3.0,0.0,1.0
PER,8.396154,5.7727275,0.11111111,4.26268,30.000002,0.4315909,22.0,26.0,34.0,9.0,16.0,92.0,95.0,64.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,16600.0,1.0,174.0,30.000002,1.0,1.0,4.0,3.0
PRY,8.207947,6.9545455,0.25555557,4.3579903,25.0,0.41111112,22.0,37.0,43.0,-2.0,12.0,73.0,89.0,48.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,184.0,25.0,0.0,1.0,1.0,2.0
SDN,7.3065314,4.0,0.16666667,4.479607,0.0,0.51218003,29.0,40.0,48.0,5.0,19.0,18.0,67.0,10.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10900.0,1.0,41.0,0.0,8.0,7.0,0.0,1.0
SEN,7.4024515,6.0,0.15555556,5.103883,0.0,0.7788682,28.0,35.0,43.0,12.0,21.0,70.0,88.0,45.0,74.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,3.0,3.0,0.0,1.0
SGP,10.146434,9.318182,0.013555556,2.8735647,0.0,0.3215287,28.0,33.0,36.0,19.0,21.0,76.0,82.0,70.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,4.0,8.0,7.0,0.0,1.0
SLE,6.253829,5.818182,0.09222222,6.1800165,0.0,0.81295663,25.0,31.0,33.0,13.0,20.0,73.0,83.0,70.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,
SLV,7.948032,5.0,0.15,4.3579903,20.0,0.05142857,9.0,20.0,42.0,-25.0,8.0,71.0,85.0,46.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,157.0,20.0,,3.0,,3.0
TGO,7.222566,6.909091,0.08888889,6.504288,0.0,0.72848684,27.0,32.0,38.0,15.0,21.0,95.0,97.0,61.0,77.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,3.0,0.0,1.0
TTO,8.76873,7.4545455,0.12222222,4.4426513,40.0,0.23126984,26.0,35.0,38.0,11.0,16.0,83.0,89.0,61.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442000.0,1.0,33.0,40.0,8.0,7.0,0.0,1.0
TUN,8.482602,6.4545455,0.37777779,4.1431346,0.0,0.070252195,24.0,25.0,48.0,-1.0,11.0,72.0,86.0,40.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198000.0,1.0,36.0,3.0,0.0,1.0,0.0,1.0
TZA,6.253829,6.6363635,0.06666667,5.6347895,0.0,0.8902469,22.0,31.0,36.0,8.0,16.0,70.0,84.0,36.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,3.0,0.0,1.0
UGA,6.9660244,4.4545455,0.011111111,5.6347895,0.0,0.8357907,24.0,29.0,36.0,12.0,15.0,78.0,89.0,54.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,7.0,7.0,0.0,1.0
URY,9.031214,7.0,0.36666667,4.26268,90.0,0.06666667,20.0,26.0,43.0,-4.0,8.0,73.0,89.0,52.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165.0,60.000004,1.0,1.0,1.0,1.0
USA,10.21574,10.0,0.42222223,2.7080503,83.600006,0.20903142,27.0,32.0,37.0,15.0,21.0,62.0,70.0,59.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,11.0,13.0,95700.0,1.0,195.0,87.5,7.0,7.0,10.0,7.0
VEN,9.071078,7.1363635,0.08888889,4.3579903,20.0,0.0525,20.0,28.0,33.0,7.0,12.0,78.0,84.0,60.0,63.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.04e+06,1.0,165.0,20.0,1.0,1.0,1.0,3.0
VNM,7.279319,6.409091,0.17777778,4.9416423,0.0,0.11764706,25.0,33.0,43.0,6.0,22.0,74.0,83.0,67.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7140.0,1.0,41.0,0.0,0.0,1.0,0.0,1.0
ZAF,8.885994,6.8636365,0.32222223,2.74084,16.0,0.8309818,19.0,29.0,39.0,-2.0,7.0,71.0,91.0,54.0,67.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,4.0,0.0,2.0,0.0,1.0,139.0,22.0,3.0,3.0,3.0,3.0
ZAR,6.8669333,3.5,0.0,5.480639,0.0,0.8722529,25.0,32.0,36.0,14.0,19.0,88.0,95.0,61.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4540.0,1.0,35.0,8.0,0.0,1.0,0.0,1.0
